,Source.Name,Assigned_Breach_Number,Date_Reported_To_OCA,Organization_Name,Breach_Type_Description,Breach_Occur_at_the_Reporting_Entity?,MA_Residents_Affected,SSNBreached,Account_Number_Breached,Drivers_Licenses_Breached,Credit_Debit_Numbers_Breached,Provided_Credit_Monitoring,Data_Encrypted,Mobile_Device_Lost_Stolen,Reported_Year
152,Data Breach Web Report  2020,16463,2020-02-10,Main Street Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
153,Data Breach Web Report  2020,16464,2020-02-10,Eastern Bank,Electronic,No,1405.0,No,No,No,Yes,No,No,No,2020
154,Data Breach Web Report  2020,16466,2020-02-10,"Novo Nordisk, Inc.",Electronic,No,6.0,Yes,No,No,Yes,Yes,No,No,2020
155,Data Breach Web Report  2020,16458,2020-02-10,The Village Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
156,Data Breach Web Report  2020,16469,2020-02-11,Gordon Feinblatt LLC,Electronic,Yes,2.0,Yes,No,Yes,No,Yes,No,No,2020
157,Data Breach Web Report  2020,16465,2020-02-11,"American Express Travel Related Services Company, Inc",Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
158,Data Breach Web Report  2020,16470,2020-02-12,The Village Bank,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
159,Data Breach Web Report  2020,16471,2020-02-12,"American Express Travel Related Services Company, Inc.",Electronic,No,6.0,No,No,No,Yes,No,No,No,2020
160,Data Breach Web Report  2020,16472,2020-02-12,The Lincoln National Life Insurance Company,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
161,Data Breach Web Report  2020,16473,2020-02-12,"American Express Travel Related Services Company, Inc.",Both,No,3.0,No,No,No,Yes,No,No,No,2020
162,Data Breach Web Report  2020,16474,2020-02-12,Terlato Wine Group,Electronic,Yes,9.0,Yes,No,Yes,No,Yes,No,No,2020
163,Data Breach Web Report  2020,16418,2020-02-12,"Kabbage, Inc.",Electronic,Yes,2.0,Yes,Yes,No,No,Yes,No,No,2020
164,Data Breach Web Report  2020,16475,2020-02-13,Salem Five Cents Savings Bank,Electronic,No,5.0,No,No,No,Yes,No,No,No,2020
165,Data Breach Web Report  2020,16476,2020-02-13,"American Express Travel Related Services Company, Inc.",Electronic,No,6.0,No,No,No,Yes,No,No,No,2020
166,Data Breach Web Report  2020,16477,2020-02-13,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
167,Data Breach Web Report  2020,16478,2020-02-13,Savers Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
168,Data Breach Web Report  2020,16479,2020-02-13,Savers Bank,Electronic,No,2.0,No,No,No,Yes,No,No,No,2020
169,Data Breach Web Report  2020,16480,2020-02-13,Phoenix Children's Hospital,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
170,Data Breach Web Report  2020,16481,2020-02-14,Savers Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
171,Data Breach Web Report  2020,16482,2020-02-14,Alfred University,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
172,Data Breach Web Report  2020,16483,2020-02-14,Webster Five Cents Savings Bank,Electronic,No,38.0,No,No,No,Yes,No,No,No,2020
173,Data Breach Web Report  2020,16484,2020-02-14,H&R Block LLC,Electronic,Yes,2.0,Yes,No,No,No,Yes,No,No,2020
174,Data Breach Web Report  2020,16485,2020-02-14,Shields Health Solutions,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
175,Data Breach Web Report  2020,16486,2020-02-14,Savers Bank,Electronic,No,26.0,No,No,No,Yes,No,No,No,2020
176,Data Breach Web Report  2020,16487,2020-02-14,Savers bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
177,Data Breach Web Report  2020,16488,2020-02-14,Savers Bank,Electronic,No,53.0,No,No,No,Yes,No,No,No,2020
178,Data Breach Web Report  2020,16490,2020-02-14,Nantucket Cottage Hospital,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
179,Data Breach Web Report  2020,16496,2020-02-14,"Wells Fargo Bank, N.A.",Electronic,Yes,2.0,No,Yes,No,No,Yes,No,No,2020
180,Data Breach Web Report  2020,16497,2020-02-14,"NCH Healthcare System, Inc.",Electronic,Yes,34.0,Yes,Yes,No,No,Yes,No,No,2020
181,Data Breach Web Report  2020,16493,2020-02-14,Sales Benchmark Index,Electronic,Yes,10.0,Yes,Yes,No,No,Yes,No,No,2020
182,Data Breach Web Report  2020,16494,2020-02-14,Aveanna Healthcare,Electronic,Yes,4084.0,Yes,Yes,Yes,No,Yes,No,No,2020
183,Data Breach Web Report  2020,16491,2020-02-17,"TrueDialog, Inc.",Electronic,Yes,5.0,Yes,No,Yes,No,Yes,No,No,2020
184,Data Breach Web Report  2020,16498,2020-02-18,First Heartland,Electronic,Yes,6.0,Yes,No,Yes,No,Yes,No,No,2020
185,Data Breach Web Report  2020,16499,2020-02-18,East House Corporation,Electronic,Yes,1.0,Yes,No,No,No,Yes,No,No,2020
186,Data Breach Web Report  2020,16500,2020-02-18,Nippon Life Insurance Company of America,Electronic,Yes,1.0,No,Yes,No,No,Yes,No,No,2020
187,Data Breach Web Report  2020,16501,2020-02-19,Heska Corporation,Electronic,Yes,3.0,Yes,No,Yes,Yes,Yes,No,No,2020
188,Data Breach Web Report  2020,16502,2020-02-19,Tablet Inc.,Electronic,Yes,25.0,No,No,No,Yes,Yes,No,No,2020
189,Data Breach Web Report  2020,16504,2020-02-19,"American Express Travel Related Services Company, Inc.",Electronic,No,491.0,No,No,No,Yes,No,No,No,2020
190,Data Breach Web Report  2020,16505,2020-02-19,Advocate Aurora Health (“AAH”),Electronic,Yes,65.0,Yes,Yes,No,No,Yes,No,No,2020
191,Data Breach Web Report  2020,16506,2020-02-19,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
192,Data Breach Web Report  2020,16507,2020-02-19,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
193,Data Breach Web Report  2020,16508,2020-02-19,Mutual One Bank,Electronic,No,1.0,No,No,No,Yes,No,No,No,2020
194,Data Breach Web Report  2020,16510,2020-02-19,Insurance Recovery Group,Electronic,Yes,304.0,Yes,No,Yes,No,Yes,No,No,2020
195,Data Breach Web Report  2020,16511,2020-02-19,"ADP, LLC",Electronic,Yes,121.0,Yes,No,No,No,Yes,No,No,2020
